指導教員,修士論文主題
田中文英,Modeling the Pudding Vibration That People Find Cute
田中文英,Development and Evaluation of a Tabletop Mobile Robot for CT-optimal Touch
田中文英,Development of a Speech Assist Device for People Who Stutter Using the Distraction Effect of Vibrotactile Stimulation
渡邉俊,中国第14次５カ年計画とSNSの投稿から見た都市空間認知変化の比較分析―武漢市を事例として
藤井さやか,計画的住宅地における高コスト共用施設の維持管理に関する研究?斜行エレベーターを事例として?
藤井さやか,産後家庭と地域をつなぐ出産祝いの実態と可能性?横浜市戸塚区の認定NPO法人こまちぷらすのウェルカムベビープロジェクトに着目して?
藤井さやか,居場所づくりを志す個人が「開設・常設化・非開設」に至る過程と要因?認定NPO法人こまちぷらすの「居場所づくり講座」受講者に着目して?
藤井さやか,小規模公園の維持管理手法としての農の導入可能性の検討
藤川昌樹,東京都福生市における横田基地米軍ハウスの歴史的展開と保全・活用
藤川昌樹,農村舞台の現状とその保全ーハード・ソフトの両面に着目してー
藤川昌樹,災害後に移住を強いられた住民の新居住地への適応状況に関する研究ー四川大震災後の北川県を事例としてー
藤川昌樹,江蘇省において清代南巡時に利用された行宮の空間特性ー立地と施設構成に着目してー
梅本通孝,大規模災害での緊急消防援助隊に対する概念的なロジスティクス方策
梅本通孝,全国自治体における水害時広域避難の有効性評価と促進方策の検討
八森正泰,単位コイングラフにおける部分彩色の拡張の実験的研究
繁野麻衣子,エラスティック光ネットワークにおける通信要求の保持時間を考慮した予約種別リソース割り当て戦略の提案
繁野麻衣子,列生成法を軸とした電気バスの仕業編成最適化
繁野麻衣子,大規模言語モデルを活用した非専門家による継続運用可能な勤務表作成手法の検討
繁野麻衣子,機械学習モデルと特徴量選択によるファミリーレストラン店舗別売上予測方法の検討
繁野麻衣子,タクティカルシューターゲームにおけるチームでの移動を考慮した軌跡特徴量による戦略解析
繁野麻衣子,育成マネージャーの導入がチームに与える影響の検証
繁野麻衣子,２指標を用いた市場セグメンテーション手法における境界の検討
繁野麻衣子,指定された外形に対する多様な間取り案自動生成のための三段階アプローチ
飯塚里志,"楽器演奏シーンの手のランドマーク検出モデルの構築および音響
特徴組み込みの検討"
飯塚里志,"再構成ロスを用いた拡散モデルによるキャラクタードット絵の生
成"
飯塚里志,制御可能な拡散モデルを用いた錯視画像の生成
福井和広,Human Gait Motion Analysis Based on Shape Subspace
福井和広,Deep Randomized Time Warpingに基づく行動認識手法の研究
福井和広,"A Framework of Deep Learning Based on Variations in Weight
Parameters"
福井和広,Steering Large Language Models for Unbiased Scientific Review
福井和広,Analysis of surface shape using shape subspace
福井和広,"Hybrid Quantum-Classical Dynamic Time Warping and Its
Application"
福地一斗,"Fairness Adjustment via Item-Specific Sensitive Attribute-wise
Filtering in Recommender System"
平田祥人,"閾値自己回帰モデルのそれぞれの区間の予測モデルを連続に繋ぐ
拡張"
平田祥人,"イベント系列生成と予測精度評価に基づくイベント発生特性の推
定"
平田祥人,"Predicting local maxima of time series with edit distances and
long short-term memory neural networks"
蜂須拓,人と植物の物理的接触を拡張するスマート植木鉢
望山洋,超柔軟マニピュレータによる吊り荷のフィードバック制振
